hrôm âu | hrônh âu | hrôih âu | sớm nay
hrok | srok | srok | cái đó
hư | hưễ | hưế | yêu
hư băi | poyô | pơđôi | tình nhân
hưẽ hañ/ hưẽ hai | lũ Jat | hel | phần khởi
huăng | huăng | huăng | rơi (rơi, rớt)
huai | huai | huai | không có
huai kơ Jang | huai kơ Jang | huai kơ Jang | không phải làm
huan | huan | huan | gân tay
huang | guang | tơgăm | xúm (xúm lại)
huang | huang | huang | củng giúp
hua: ng gũm ø gĂm/f> ch | huang gũm | huang gũm | giúp đỡ
huên | huên | apũùng | huyện (xã)
hui | hui | hui | thưa thớt
hum | hum | hum | tắm
hvơt | hyot | hyơt | quên
lñ | 1ñ | 1ñ | tôi, mình
Tñ | Tñ | Tñ | em
ïok | Tok | lðk | lấy
1ñ Jang | 1ñ Jang | 1ñ Jang | em làm
1ñ Jet | 1ñ Jjet | 1ñJet | tôi hỏi
1ã ah | mơih kah | mơnh kah | khoan đã
1ã bơnh | 15 bơnh | lãă bơnh | đỡ rôi
lề | lề | lề | nhỏ
lšm hăm sô | išm hăm sŠ | iềm hăm số | các bạn vui không
lếT | lếr | lềT | gà (con gả)
1el pel | 1el pel | pơm “lâng | làm đẹp
iem | 1em | lem | các anh/ các chị
ler ð | 1er ð | 16T ð | gà gáy
1er tơmông | 1er tơmông | 1er tơmông | gà trống (con gà trồng) | 
64
