2m: šruih | am šruth | am ẽruih | mưa đồ
am: hngaš | ami hngaCš | ami hngaš | mưa dâm
am prel ; | ami prel | am prel | mưa đá
amoi | boi | boi | theo
.amoih | amẽh | “monh | muốn, thích
amui | amui | brunh | bụi bặm
 | ăn | ăn | cho (cho đưa)
ăn kơ | ăn kơ | ăn kơ | cho, cấp, phát cho
ân răm | ân răm | ăn răm | cho học, cho tập tảnh
an | ană | hưẽ | mừng (mừng rỡ)
anăk | anăk | anăk | đặt
znäk hơkap | anăk hơkap | anăk hơkap | đặt bẫy
anăn | măt | mặt | tên (tên người)
anär dâng | anăr dâng | “năr dâng | buổi trưa
anär lẽš | anăr lẽš | anăr lẽš | phía đông
anăr mât | anăr mât | anăr mât | mặt trởi lặn, phía tây
anao | anao | anao | mới
anao lẽš | anao lšš | anao lẽš | mới ra
ang | ang | ang/ hơgah | sáng, ánh sáng
ang moñă | ang mơñă | ang mơñă | khoe sắc
angam angam | angam angam | angam angam | ngọt
angualh | angualh | agah | ngoài (><trong)
anh | hơnh | annh | chỗ (chỗ ở)
anoh | anoh | anoh | đấy, đó
anu | lu | lu | những, các (những người)
anu anð | anu anð | anu anð | thế này, đâu đó
anu bơngal | anu bơngai | anu bơngai | người (một người)
anu kon | anu kon | anu kon | người con
anu yang | anu vang | anu yang | người thần
ao | ao | ao | áo (cái áo)
