apĩñ 1et | apĩñ jet | apĩñ Jet | chào hỏi
apăng | apăng | apăng | một phân
apăng | hơpăng | hơpăng | đốt (hai đốt tre)
apiñ | hơpi | hơpiñ | hỏi (hỏi xin)
aDIñ 1et | apnñ Jet | apiñ Jet | hỏi thăm
apùng | apùng | hơ đũng | vùng (quê hương)
arăk | arăk | arăng | cứng (cứng cáp)
anh | arh | arih | sông
anh sa | arlh sa | arih sa | sinh sông/đời sông
arnh sa | hơnGÙk hơnua | hơnữk hơnua | cuộc sông
athẽi | athẽ1/ tơplah | tơplah/ hmăng | hãy (hãy nói điều gì đó)
athei | athei | athei | đề, phải, bảo (hãy làm),
khuyên bảo
athei šä | athei šä | athei ẽă | đề tìm
athei šnh | athei ènh | tơplah šnh | hãy viết
athei đei | athei đei | athei đei | phải có
ayâm dim | ayâm dim | ayâm dim | hiền lành
ayep | ayep | ayep | hút (hút mật ong)
avep pơkao | avep pơkao | ayep pơkao | hút nhụy (hoa)
av | avð/ hli | hli/ “vũ | sợ
ay | avũ | ayä | chua (quả chua)
ăn | ăn | ăn | đê có, cho
ăn kơ | ăn kơ | ăn kơ | cho, làm cho
ăn kơ oh hăp | ăn kơ oh hăp | ăn kơ oh hăp | chia cho người em
ăn kơbân | ăn kơbân | ăn kơbân | cho chúng ta biết
ăn | ăn | ăn | cho, đưa
ăn | song | song | cho (cho quá)
ăn kơ dăm | ăn kơ dăm | ăn kơ dăm | cho chàng
ăn kơ 1ñ | ăn kơ tñ | ăn kơ 1ñ | đưa cho anh
