hân monh | bân molh | bân moih | mình thích
bân sô | bân sô | bân sô | mình vui
hân vak | bân vak | bân yak | mình đi
hâng | bâng | bâng | hông (hoa hông tươi)
hât | bật | bât | lúc (chô)
bebe | be be | be be | con đề
bek | bek | bek | mập (mập><ôm)
bia | bia dăm šinh | bia | tiên nữ
bích | bích | nh | vẽ, viết
bine băi | bine bãi | bing băi | phủ hộ
biỡ | biỡ | biỡ | Ít (đau ít)
bip | bip | bip | con vịt
blăI | blãI | blăi | tục tăn
blah | pah | pah | bố, chẽ (chẻ củi)
blah | blah | blah | băn, diệt
blỡ | blở | blỡ | lật (lật đô)
blôk | blôk | blôk | sôi (bọt nước)
blông blang | lũk lâk | blông blang | trăng xóa
blư | blư | blư | bông nhiên
blũi | blũi | blũi | soẹt
blũng | blũng | blũng | xông vào, tiên vào, tân
công
bluh | šăt/ bluh | bluh | mọc, đâm chôi
