| | bơ | bơ | cá lóc loại nhỏ
lim | pơm/ Jang | pơm/ jang | làm
li | bỡ | bỡ | đắp (đắp bở)
[bờ brai | bỡ brai | bỡ brai | dệt vải
lbỡ jang | bỡ Jang | bỡ jang | lao động
!bỡ khôỏm | bỡ khốm | bỡ khốm | có gắng
Đỡ kơlung | bỡ sơlung | bỡ sơlung | đảo hồ
"bỡ mir | bỡ mir | bỡ mir | làm rẫy
"bỡna | bỡna | bỡna | làm ruộng
bơ. găn | bỡ, găn | bỡ, găn | ngăn (ngăn dòng nước)
bỠJjang | bỡJang | bỡ]Jang | lao đông. sản xuất
bök | bðk | bðk | đục. tạc. khoét
bồi | bôi | bỗi | hũ, vai (cái hũ)
5ö]ang | bỡjang | bỡJang | làm việc
bôk | năm | năm | đi
bôk găn | bôk găn | bốk găn | đi qua
bôk Jang | bôk jang | năm jang | đilảm
bôk tơ kông | bôk tơ kông | bốk tơ kông | đi lên rừng. vào rừng
bơang | bơang | bơang | khoe khoang
bơbăh | bơbăh | bơbăh | hướng bắc
bơbrơng | bơbrơng | bơbrơng | năm dải
bơbùk | bơbũk | bơbũk | xúc bủn
bơbùng | bơbũng | bơbũng | mái, mái nhà
bơbũng | šơkup | pơdah | mái (mái nhả)
bơbuh | bơbuh | bơbuh | mồ hôi
bonh | bơnh | bơnh | TÔI
bonh | ôh | bơinh | đâu. rôi
bơnh | bơnh | bơnh | TÔi (xong rồi)
bơnh pô | bơih pô | bơih pỗ | TÔI bạn
bôk | năm | yak | đi (bước đi)
