bôk loa | năm hơvô | hơngoang | đi săn | 
bôi/ bôi bă | bôl/ bôi bãi | bôl/ bôi băI | bạn (bạn bè) | 
bôi luăt | bôi luăt | bôi Juăt | bạn thân | 
bơlăm | bơlăm | bơlăm | bản tán | 
bơlð | bơlð | grũn | sôt | 
bơlð | bơlð | bơlð | sôt (đau sôt) | 
bơlôh | bơlôh | bơlôh | lô (cái lô), thay phiên | 
bon kông | bon kông | bon kông | bóng rửng | 
bơnal | bơnai | bơnai | đua ca | 
hơngai nơdrong | bơnøgai pơdrong | bơngai pơdrong | người giâu CÓ | 
bơngai rơøe1 | bơnøal rơøei | bơngai rơøel | nhân tải | 
hơnôh | bơnôh | bơnôh | tâm hôn | 
hơnôh | lâm iơhngâm | lâm Jơhngâm | trong lỏng : | 
bơnôh | bơnôh | bơnôh | tâm lỏng | 
bơnuãl] khei | Tăng lũng | măng lũng | nguyệt thực | 
bơtho | bơtho | bơtho | dạy (dạy học) | 
hơsat | bơsat | bơsat | mô. mả | 
hra | bra | bra | vải (tâm vải) | Ẵ
hrâk | brâk | brâk | xúc động | 
brano brai | brang brai | brang brai | sáng xủa | 
brân brâp | brâp brâp | brâp brâp | bâm đen | ]
hbre | bar anu | bar “nu | hai người | 
hre | bre | bre | hai người(hai đôi tượng) | Ặ
