brê ẽah | brê šah | đo ong anh
bre añðng oh | bre añðng oh | hai anhem
sêh săh | brêh brah | tung tóc
bre hăp | bre hăp | họ, hai người
bre yă sau | bre vă sau | hai bả cháu
brẽ | br | biền biệt
brẽñ | brẽñ | brenh (tên con chó)
yâng bri/brei | Hơbi/brei | hôm qua
brem | brem | thú (thú rừng)
bri | bn | rừng
bri along | bri along | rửng cây
bri kông | bri kông | rừng núi
bri ơi | briơi | rừng ơi
bri rơng | bri rơng | rừng rậm
wih | wih | về
yong | hokăt | gùi (cái øùi)
bui | bui | bui (bui bần)
bẽ | bš | nào. đi
kiơ | bu | ai. gì
bu | bu | ai
sỡk hơbo | sðỡk hơbo | râu bắp
bưh bưh | bưh bưh | mãi mãi
bum greu | bum ngô | đâu phông
bung bang | bung bang | hoa sim
bai | bai | bài
bak | bak | trắng (><đen)
beñ | beñ | đầy (làm đầv)
blang blang | blang blang | đan sen (nở ra)
bôñ | bôñ | dễ (dễ dàng)
