bôñ | bôñ/ hiôk | bôñ/ buôñ | dễ. dễ dàng
bôk | bôk | bôk/ năm | đi
bồn | bôh | bôh | thấy (nhìn thấy)
bôh prit | bôh prit | bôh pit | gùi chuối
bơi lơi | bơi lơi | bơi lơi | cây bởi lời
bok | bok | bok | ông (ông ngoai/nôi)
Bok Hô | Bok Hô | Mãă Hô | Bác Hồ
bơm | bơm | trð | trúng
bôr tch | pông tch | pông teh | đảo đất
brâk | brâk | ơh | cảm xúc. xúc đông
brê brũng | brê brũng | brê brũng | đỏ hồng
Drưẽ | brưẽ | brưẽ | nhô (măt trời nhô lên)
brulh brăm | bruih brăm | bruih brăm | bụi băm
bũ | bũ | bũ | lắp. vùi. chôn
buah | hmaš, amêm | amêm | thương (thương vêu)
buh | buh | buh | nướng (nướng thit. cá)
buh sa | buh sa | buh sa | nướng ăn
bum | bum | bum | khoai, mì (củ mì, củ
khoai)
Cĩng Công | ẽïng šêng | ởïnng šêng | cái chiêng
cã | li | ẽă | tìm. kiếm
Cã bầu | ẽš bâu | ẽă bâu | tìm mùi. tìm hơi
Cã gõ | ẽă gð | Că øð | tìm cái nồi
Cãi hle | šðl hle | šăl hle | thời đai mới
Cặt | hon | đah | nhú, nhô (cây vừa nhú lên,
nhô lên)
Cai | ẽai(kơšðk) | ẽai | chai (cái chai)
cam | ẽam | šam | sân
Cam kơtao | Èam kơtao | ẽam kơtao | bãi mía
