šnh ễi | ẽlh i | ẽnh ẽi | bút chỉ
ẽnh Jing | šnh ng | ẽnh Jing | viết thành
šth mã tr | šnh mă tr | šnh mă trð | viết cho đúng
Šing šêng | ðimg šêng | ẽing šêng | chiêng (công chiêng)
šơ găm | mă kăm | šơ găm | cảng thích
šơ kơi | šơ kơi | šơ kơi | thác
šðng | asong | song | cho
šðng | šðng | šðng | nhưng mà
Cðng | ẽðng | ẽðng | xong, sau đó
šơềä | šošš | šơẽä | tìm (kiếm)
šơšoh | šošoh | šơšoh | băm thịt (đánh máy)
šô đĩ | šô đĩ | šô đĩ | cột hết
šơgăm | šơgăm | hơlom | chăm chỉ
šogăm | hơlom | hơlom | hăng hái
šogăn | šơgăn | šơgăn | vách ngăn
šoh | pông/ dơhnă | bðk/ dơhnă | cuốc (cuốc đất)
šoh hiang | šoh hlang | šoh hlang | khai hoang
šoh Jang | šoh Jang | šoh jang | lao động
šoh mă kơtang | šoh mă kơtang | ẽoh mă kơtang | cuốc hăng sav
šoi kăt | šo1 kăt | ẽoi kặt | thu hoạch
ẽšơkơi | tơkơi | tơkơi | thác (thác nước)
šơnăt | šơnăt | šơnăt | chôi
šơnšng | šơnšng | šơnšng | tưởng, vách nhà
šong | šong | šong | nhưng mả
šop | šop | ẽop | rình (mèo rình chuôĐ)
ŠOT | ẽoT | or | đảo (đảo mương)
éor thong | šor hơbong | šor hơbong | đảo mương
ẽră | šră | ẽră | sáng chói
šrâu | šrâu | râu | khoai (khoai môn)
