aplïñ jet | apïñ jet | apĩñ jet | chảo hỏi
apăng | apăng | apăng | một phân ~
apăng | hơpăng | hơpăng | đốt (hai đột tre)
apiñ | hơni | hơpiñ | hỏi (hỏi xin)
ap1ñ iet | apiñ jet | apiñ jet | hỏi thăm
apùng | apùng | hơ đũng | vùng (quê hương)
arăk | arăk | arăng | cứng (cứng cáp)
anh | arih | arih | sông
arnh sa | arih sa | anh sa | sinh sông/đời sông
annh sa | hơnðk hơnua | hơnðk hơnua | cuộc sông
athẽi | athši/ tơplah | tơplah/ hnăng | hãy (hãy nói điêu gì đó)
athei | athei | athei | đề, phải, bảo (hãy làm),
khuyên bảo
athei šš | athei šä | athei šä | đề tìm
athei šnh | athei šnh | tơplah šnh | hãy viết
athei đei | athei đei | athei đei | phải có
ayâm dim | ayâm dim | ayâm dim | hiên lảnh
avep | ayep | ayep | hút (hút mật ong)
ayep pơkao | avep pơkao | ayep pơkao | hút nhụy (hoa)
avð | ayðÐ/ hÌi | hli °y | sợ
avð | ayð | ayð | chua (quả chua)
ăn | ăn | ăn | đề có, cho
ăn kơ | ăn kơ | ăn kơ | cho, làm cho
ăn kơ oh hặăp | ăn kơ oh hắp | ăn kơ oh hặp | chia cho người em
ăn kơbân | ăn kơbân | ăn kơbân | cho chúng ta biệt
ăn | ăn | ăn | cho, đưa
ăn | song | song | cho (cho quá)
ăn kơ dăm | ăn kơ dăm | ăn kơ dăm | cho chàng
ăn kơ iñ | ăn kơ iñ | ăn kơ iñ | đưa cho anh
