bân šang | | bân šang | bân šang | chúng ta (mình) chớ | 
hân tang | bân iang | bân jang | mình làm | 
hân moìh | bân moih | bân molh | mình thích | ¡
ĩ
hân số | bân số | bân sô | mình vui | 
hân vak | bân vak | bân vak | mình đi | 
hâng | hbâng | bâng | hông (hoa hông tươi) | 
hât | bật | bât | lúc (chỗ) | 
hãăt | blok | blok | nhớ (nhớ nhung) | 
hặt | bặt | bặt | mặn (muôi) | 
bâu | buh | mâu | mới (mm vị) ĩ | 
hebe | be be | be be | con đề | 
hš | bẽ | bš | ơi, hỡi, nảo | 
hbek | bek | bek | mập (mạp><ôm) | 
ha | bia dăm šinh | bìa | tiên nữ | 
bieh | bich | nh | vẽ, viết | 
hine bãi | bìng bãi | bing băi | phủ hộ | 
