šuah | šuơh | šuôh | cát | 
šä wah | hoxai | hơxai | câu (đi câu cá) | 
šă yâu | tât sok | yâu | đi xúc (cá) | 
cặt | cặt | cặt | xuân (mùa xuân) | 
ẽal | ẽal | šal | con chôn | 
šal | ẽal | šal | thế kỷ | 
šal kră sỡ | šal krã sỡ | šal kră sở | thời xa xưa | 
šam | ẽam | šam | sân (sân nhả, sân bóng) | 
Šam pơlei | šam pơlei | ẽam pơlei | sân làng | 
ễar | Šar | long | địa hình, tĩnh | 
Ôar kông | Gar kông | Ôar kông | Tây Nguyên | 
ễar nai | šar nai | ẽar nai | tỉnh khác | 
ššp | ššp | ššp | mang, cầm | 
Ššp ăn | šẽp ăn | ếẽp ăn | mang cho | 
šếp ba | Ššp ba | šp ba | mang theo | 
šch | ẽch | ch | nở (trứng nở) | 
šch phe | ka phê | ka phê | cả phê | 
