èth ễi | ẽnh ễi | ðhh ẽi | bút chỉ
ẽnh Jing | ẽih jing | ẽth jing | viết thành
ễnh mã trõ | ẽnh mă tr | šnh mã trõ | viết cho đúng
ðimmg šêng | ðing ẽêng | Gšing šêng | chiêng (cồng chiêng)
Cơ găm | mặ kăm | Šơ găm | cảng thích
šơ kơi | šơ kơi | šơ kơi | thác
Cðng | asong | song | cho
Cống | Cống | Cống | nhưng mà
Cðng | đống | đống | xong, sau đó
šoÈèä | Cơẽä | lu] | tìm (kiếm)
Cošoh | cơẽ¿oh | Cưèoh | băm thịt (đánh máy)
šô đĩ | lỬi
đi | šðö đĩ | cột hết
Cogăm | šơgăm | hơlom | chăm chỉ
šơgăm | hơlom | hơlom | hăng hái
šơgăn | šơgăn | Gơgăn | vách ngăn
ẽoh | Dông/ dơhnă | bðk/ dơhnă | cuốc (cuốc đất)
šoh hiang | ởoh hlang | šoh hang | khai hoang
šoh jang | ẽoh Jang | šoh jang | lao động
šoh mă kơtang | šoh mă kơtang | šoh mặ kơtang | cuốc hăng sav
ễoi kặt | ẽoi kất | šoi kặt | thu hoạch
šơkơi | tơkơi | tơkơi | thác (thác nước)
öơnặt | šơnăt | šơnăt | chổi
šơnšng | šơnšng | šơnšng | tưởng, vách nhả
¿ong | ẽšong | šong | nhưng mả
šop | šop | šop | rình (mèo rình chuột)
Cor | Cor | ẽor | đảo (đảo mương)
šor thong | ẽor hơbong | ẽor hơbong | đảo mương
ẻră | šră | šră | sáng chói
érâu | ễšrâu | šrâu | khoai (khoai môn)
¿nh | šrih | šrih | mách
